file,worker_count,total_violation,highest_risk,helmet_ok,vest_ok,no_helmet,no_vest
helmet_only/helmet_only_001.jpg,1,2,HIGH,1,0,0,1
helmet_only/helmet_only_002.jpg,0,0,SAFE,0,0,0,0
helmet_only/helmet_only_003.jpg,8,11,HIGH,8,0,0,8
helmet_only/helmet_only_004.jpg,1,2,HIGH,1,0,0,1
helmet_only/helmet_only_005.jpg,4,5,HIGH,3,0,1,4
helmet_only/helmet_only_006.jpg,3,3,WARNING,3,0,0,3
helmet_only/helmet_only_007.jpg,1,2,HIGH,1,0,0,1
helmet_only/helmet_only_008.jpg,3,4,HIGH,3,0,0,3
helmet_only/helmet_only_009.jpg,0,0,SAFE,0,0,0,0
helmet_only/helmet_only_010.jpg,1,1,WARNING,1,0,0,1
helmet_only/helmet_only_011.jpg,2,2,HIGH,1,1,1,1
helmet_only/helmet_only_012.jpg,2,4,HIGH,2,0,0,2
no_ppe_or_head/no_ppe_or_head_001.jpg,5,13,CRITICAL,0,0,5,5
no_ppe_or_head/no_ppe_or_head_002.jpg,6,12,HIGH,0,0,6,6
no_ppe_or_head/no_ppe_or_head_003.jpg,9,22,CRITICAL,0,0,9,9
no_ppe_or_head/no_ppe_or_head_004.jpg,11,22,HIGH,0,0,11,11
no_ppe_or_head/no_ppe_or_head_005.jpg,11,22,HIGH,0,0,11,11
no_ppe_or_head/no_ppe_or_head_006.jpg,12,24,HIGH,0,0,12,12
no_ppe_or_head/no_ppe_or_head_007.jpg,8,20,CRITICAL,0,0,8,8
no_ppe_or_head/no_ppe_or_head_008.jpg,8,17,CRITICAL,0,0,8,8
no_ppe_or_head/no_ppe_or_head_009.jpg,7,16,CRITICAL,0,0,7,7
no_ppe_or_head/no_ppe_or_head_010.jpg,8,18,CRITICAL,0,0,8,8
no_ppe_or_head/no_ppe_or_head_011.jpg,5,12,CRITICAL,1,0,4,5
no_ppe_or_head/no_ppe_or_head_012.jpg,9,24,CRITICAL,1,0,8,9
real_assets/sample1.jpeg,2,2,HIGH,1,1,1,1
real_assets/sample2.jpeg,1,0,SAFE,1,1,0,0
real_assets/sample3.jpeg,1,0,SAFE,1,1,0,0
real_assets/sample4.jpeg,1,0,SAFE,1,1,0,0
real_assets/sample5.jpeg,2,3,HIGH,0,1,2,1
real_assets/sample6.jpeg,1,2,HIGH,0,0,1,1
real_assets/sample7.jpeg,3,6,HIGH,0,0,3,3
real_assets/sample8.jpeg,5,10,HIGH,0,0,5,5
real_assets/sample9.jpeg,1,2,HIGH,0,0,1,1
vest_only/vest_only_001.jpg,3,5,CRITICAL,0,2,3,1
vest_only/vest_only_002.jpg,4,8,CRITICAL,1,1,3,3
vest_only/vest_only_003.jpg,1,2,HIGH,1,0,0,1
vest_only/vest_only_004.jpg,6,11,CRITICAL,0,3,6,3
vest_only/vest_only_005.jpg,4,2,HIGH,3,3,1,1
vest_only/vest_only_006.jpg,1,1,HIGH,1,1,0,0
vest_only/vest_only_007.jpg,1,1,HIGH,1,1,0,0
vest_only/vest_only_008.jpg,1,2,HIGH,1,0,0,1
vest_only/vest_only_009.jpg,4,2,WARNING,2,4,2,0
vest_only/vest_only_010.jpg,1,1,WARNING,0,1,1,0
vest_only/vest_only_011.jpg,1,1,HIGH,1,1,0,0
vest_only/vest_only_012.jpg,1,0,SAFE,1,1,0,0
